0,53,10
54,179,3
180,196,10
197,218,1
219,225,6
227,244,8
245,267,3
268,276,9
290,296,2
306,311,9
314,319,6
320,332,8
333,357,3
360,374,10
375,389,1
390,397,9
398,425,7
426,436,3
437,447,7
448,461,1
462,467,9
471,476,8
477,481,3
482,487,9
491,493,6
519,526,3
527,550,6
575,605,3
607,622,10
623,645,1
646,662,2
685,692,2
694,723,1
724,731,2
739,755,3
756,767,1
768,769,9
772,779,11
780,784,3
787,801,10
802,825,1
827,833,9
835,845,7
846,860,3
861,877,7
879,900,1
901,907,3
908,918,1
922,928,6
930,936,8
937,941,3
942,946,8
947,953,6
954,967,3
968,975,3
976,982,5
983,996,3
1014,1032,2
1033,1054,3
1055,1083,1
1084,1093,9
1095,1115,7
1116,1128,3
1129,1136,5
1137,1150,1
1177,1193,3
1195,1201,5
1218,1247,1
1248,1259,12
1280,1289,4
1290,1298,3
1369,1376,5
1377,1411,1
1418,1428,3
1429,1461,1
1462,1483,3
1484,1493,2
1494,1510,1
1511,1517,9
1518,1540,7
1541,1548,3
1586,1605,3
1606,1619,4
1637,1686,3
1687,1706,1
1707,1717,9
1718,1728,7
1729,1792,1
1793,1803,9
1805,1820,7
1821,1825,3
1826,1827,7
1828,1837,9
1848,1851,3
1855,1865,1
1866,1871,6
1874,1884,8
1890,1896,7
1897,1901,9
1902,1955,3
1956,1962,5
1964,1979,10
1980,2004,1
2005,2035,9
2036,2041,3
2042,2060,1
2061,2073,11
2082,2090,12
2091,2103,3
2104,2121,1
2122,2147,11
2148,2163,3
2164,2179,1
2180,2190,2
2191,2201,3
2218,2259,1
2260,2269,9
2271,2276,7
2277,2297,1
2298,2304,9
2307,2327,7
2328,2336,3
2337,2347,5
2361,2373,9
2391,2448,1
2449,2453,11
2454,2475,12
2483,2489,5
2490,2505,3
2506,2517,4
2532,2540,2
2541,2547,4
2548,2569,3
2570,2573,5
2591,2603,3
2604,2616,1
2617,2622,9
2624,2626,6
2629,2639,8
2640,2665,3
2666,2680,1
2681,2691,9
2694,2708,7
2709,2713,3
2715,2734,1
2761,2778,1
2779,2793,9
2796,2804,6
2841,2867,3
2868,2895,1
2896,2898,11
2900,2917,12
2918,2929,5
2930,2940,3
2941,2956,9
2957,2966,3
2984,3011,3
3012,3024,1
3025,3030,9
3031,3035,11
3038,3041,9
3042,3050,6
3051,3091,3
