2,49,1
50,132,4
133,180,1
181,214,2
215,279,5
280,303,1
304,329,7
330,370,4
371,392,4
393,402,4
410,449,8
450,479,7
480,590,4
592,629,7
630,682,3
683,698,1
699,727,8
728,838,3
839,916,4
917,964,2
965,1085,4
1086,1103,1
1104,1119,7
1120,1130,9
1131,1240,3
1241,1313,4
1322,1343,3
1381,1422,3
1423,1516,7
1517,1555,2
1556,1588,1
1589,1605,4
1613,1635,1
1644,1676,4
1768,1786,1
1787,1793,7
1800,1817,2
1837,1861,4
1862,1889,6
1931,1943,2
2004,2095,3
2096,2154,1
2253,2283,4
2284,2315,1
2489,2513,1
2522,2550,6
2551,2702,3
2703,2748,1
2749,2831,4
2834,2877,7
2879,2937,3
2938,2992,1
2993,3112,4
3113,3133,1
3149,3173,2
3174,3198,4
3199,3220,6
3224,3228,3
3278,3314,7
3316,3346,4
3405,3451,7
3452,3574,3
3575,3619,1
3620,3812,3
3813,3886,1
3909,3934,1
3943,4028,4
4029,4060,1
4217,4261,1
4320,4369,6
4370,4409,3
4410,4436,1
4544,4598,6
4599,4652,1
4663,4725,9
4726,4750,4
4765,4790,4
4791,4834,4
4907,5004,5
5073,5097,1
5252,5293,5
5295,5374,8
5377,5478,5
5479,5621,8
5856,5937,4
5938,5979,1
5980,6025,3
6026,6034,1
6035,6064,2
6065,6105,4
6106,6117,4
6256,6313,3
6314,6347,1
6348,6392,3
6393,6428,1
6429,6523,3
6524,6535,1
6536,6560,2
6601,6634,6
7207,7251,3
7252,7279,1
7280,7313,2
7360,7742,8
7966,8078,3
8080,8111,1
8112,8202,3
8203,8250,1
8419,8430,6
8469,8585,1
8602,8615,2
8678,8698,6
10177,10245,6
10914,10977,6
11616,12081,8
12395,12410,5
13204,13304,4
13317,13340,9
13659,13704,5
13779,13859,6
