0,40,8
41,159,4
176,188,1
197,200,7
219,234,4
258,261,6
266,275,8
283,305,4
322,350,1
351,353,4
354,361,1
379,391,2
392,401,4
402,413,1
414,426,7
430,441,2
443,456,1
457,476,7
477,481,4
482,510,1
511,519,4
520,527,1
535,547,7
548,553,4
556,593,4
619,628,2
652,667,6
708,725,4
743,758,1
759,787,7
788,797,4
800,814,1
856,863,1
885,899,4
926,933,1
934,963,7
981,989,1
1010,1018,4
1030,1036,1
1046,1064,2
1065,1074,4
1090,1118,4
1119,1127,1
1160,1169,4
1187,1199,1
1226,1237,6
1238,1248,4
1249,1259,3
1308,1342,1
1353,1396,7
1397,1461,4
1462,1469,1
1479,1498,2
1499,1507,4
1525,1531,1
1581,1601,4
1602,1616,1
1638,1643,4
1617,1637,7
1663,1681,4
1699,1727,4
1730,1740,1
1741,1757,7
1764,1771,1
1796,1801,4
1819,1829,1
1846,1851,7
1854,1891,4
1892,1898,1
1907,1926,9
1947,1959,4
1969,2005,4
2006,2012,1
2017,2024,2
2049,2058,4
2059,2079,7
2080,2087,4
2091,2123,1
2124,2129,4
2130,2140,1
2182,2205,4
2223,2240,4
2241,2250,1
2251,2253,7
2261,2266,7
2267,2276,1
2286,2305,2
2311,2319,7
2325,2334,1
2357,2393,2
2394,2398,4
2399,2408,1
2425,2431,7
2432,2447,2
2448,2461,1
2470,2518,9
2519,2526,4
2558,2573,7
2618,2630,2
2659,2676,1
2705,2723,4
2724,2735,1
2744,2770,6
2841,2845,6
2859,2874,7
2920,2936,2
3013,3031,4
